document_sha256,occurrences,instruction_generation_rows,instruction_generation_ifeval_rows,languages,document_chars,content_group,marker_stratum,restrictive_notice,open_licence_marker,public_domain_marker,government_copyright_marker,copyright_marker,classification_tied,script_group,domains
0c47b01704c7def5b69accce0aa9de16aad25c0f13929629e9bedc3bc1ccd297,2,2,0,English,5482,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0c5c98693c9d3b6fb03a415bc091a226e147298d79059fa59df1a876fe038570,2,2,0,Portuguese,6494,government/legal/procurement,no_explicit_marker,False,False,False,False,False,False,latin_or_other,img.dailymail;youtube.com
0c6c667ddc3f7217985a72b689c60f7541bf8d0a084e3cd6e6c776c477bae028,2,2,0,English,3936,news/blog/general web,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0c854a29dedccb62412cb96238fb08d09157c01c1f0546cc80dc912ee00f2791,2,2,0,Italian,2352,news/blog/general web,no_explicit_marker,False,False,False,False,False,False,latin_or_other,cdc.gov
0cb5ffd1a59eec9c6216292a0b7293da8b19653a6eed2399a7867f37024ed7f4,2,2,0,French,4615,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0cb91eab041e328ed9b02c1d8bca64651fab455f7db5b99b86fd8ec1552b5c39,2,2,0,French,2326,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0cd1e4efa3e6b4b6525beb2f1b6930f07dca4b6ccc8d031952f2c4116222d4ea,2,2,0,French,14193,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0cfd7393cb157c8ea53488b94fb0a536f4508f193d7c077101e72f635aec40d7,2,2,0,English,20206,government/legal/procurement,no_explicit_marker,False,False,False,False,False,True,latin_or_other,
0d05cc04af7c63e904a2f920d77aa277dde001c6a283df5f0f2190324a424b64,2,2,0,Spanish,13952,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0d0d1bc97e331de00bdee1e06fb004cb8266828c519c7837ecd6efc97e467d9b,2,2,0,Portuguese,5376,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0d0d7f06a84c088a1c3f89439a75996d441a98f489e85c8deec8f0c9de463f76,2,2,0,Portuguese,2351,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0d0dae6c98009690608055cc0fa1c36fca7ffc2bb3829741bedf18e4061965a2,2,2,0,Portuguese,4726,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0d15fa633ffa193d7c26dbc25880b1bc4390c0e66c9ff95be8e41a4ab910c642,2,2,0,English,5900,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
